226,90,Made Shot
-2,63,Made Shot
5,29,Made Shot
-6,18,Missed Shot
-228,8,Made Shot
96,25,Missed Shot
-204,195,Made Shot
6,25,Made Shot
113,52,Missed Shot
25,281,Made Shot
5,282,Made Shot
-21,267,Missed Shot
144,221,Missed Shot
18,257,Missed Shot
199,173,Missed Shot
8,14,Made Shot
7,51,Missed Shot
-112,0,Missed Shot
6,25,Made Shot
38,171,Made Shot
-82,141,Made Shot
212,132,Missed Shot
-160,0,Made Shot
57,46,Missed Shot
24,26,Missed Shot
104,164,Made Shot
171,179,Made Shot
-227,64,Missed Shot
-13,13,Made Shot
-137,214,Made Shot
-50,132,Missed Shot
161,185,Missed Shot
-24,134,Missed Shot
27,26,Made Shot
4,8,Made Shot
-154,27,Made Shot
97,17,Made Shot
-226,105,Made Shot
-46,233,Missed Shot
156,193,Made Shot
33,16,Missed Shot
135,211,Missed Shot
101,231,Made Shot
-27,13,Missed Shot
-68,239,Missed Shot
-149,188,Missed Shot
11,261,Made Shot
-6,9,Made Shot
22,10,Missed Shot
-228,-7,Made Shot
25,26,Missed Shot
92,224,Missed Shot
-4,8,Missed Shot
46,249,Missed Shot
31,26,Made Shot
106,227,Missed Shot
231,43,Missed Shot
-7,195,Made Shot
-160,223,Missed Shot
222,10,Made Shot
15,273,Missed Shot
-132,217,Made Shot
169,175,Made Shot
81,237,Made Shot
73,262,Missed Shot
108,36,Made Shot
220,83,Missed Shot
-208,172,Missed Shot
-5,47,Made Shot
214,125,Missed Shot
96,91,Made Shot
-49,252,Missed Shot
-234,71,Missed Shot
-138,530,Missed Shot
174,188,Made Shot
4,31,Made Shot
139,223,Made Shot
0,29,Made Shot
-227,3,Made Shot
186,177,Missed Shot
13,41,Made Shot
-75,243,Made Shot
96,245,Made Shot
87,267,Made Shot
149,297,Missed Shot
154,197,Made Shot
5,12,Made Shot
-170,227,Made Shot
9,18,Missed Shot
-154,272,Made Shot
-11,62,Made Shot
-7,331,Made Shot
82,278,Made Shot
6,16,Missed Shot
-7,47,Made Shot
101,256,Missed Shot
-234,29,Missed Shot
-223,123,Made Shot
179,50,Made Shot
-51,110,Missed Shot
-10,271,Made Shot
-228,29,Made Shot
-225,-12,Made Shot
8,68,Missed Shot
-206,232,Made Shot
-230,-5,Missed Shot
0,313,Made Shot
8,347,Missed Shot
-18,315,Missed Shot
-5,1,Made Shot
-60,243,Made Shot
-221,-13,Made Shot
3,4,Made Shot
-171,167,Made Shot
143,268,Missed Shot
-205,-34,Missed Shot
-2,250,Missed Shot
141,253,Missed Shot
22,29,Missed Shot
-84,265,Made Shot
11,18,Made Shot
222,83,Made Shot
6,12,Missed Shot
154,212,Missed Shot
-7,193,Made Shot
15,267,Missed Shot
156,201,Made Shot
-91,227,Made Shot
-226,14,Made Shot
16,203,Missed Shot
-182,167,Made Shot
39,188,Missed Shot
-6,20,Made Shot
11,252,Missed Shot
99,3,Made Shot
